current,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle,device,num_workers,normalize
Train,7,16,0.18907157927751542,0.9281,6.5745038986206055,116.20879292488098,0.01,2000,False,cuda,1,normal
Train,7,17,0.19173389971256255,0.9267666666666666,6.684544563293457,123.06654381752014,0.01,2000,False,cuda,1,normal
Train,7,18,0.18399623036384583,0.9304,6.544745683670044,129.80255365371704,0.01,2000,False,cuda,1,normal
Train,7,19,0.16927625089883805,0.9351833333333334,6.519683837890625,136.51047611236572,0.01,2000,False,cuda,1,normal
Train,7,20,0.16170779665311177,0.9376333333333333,6.574653148651123,143.27555227279663,0.01,2000,False,cuda,1,normal
Test,7,4,0.3168120503425598,0.8981,1.587125301361084,145.0682713985443,,1000,True,cuda,1,normal
Train,8,1,0.6800449897845586,0.7587833333333334,4.617494821548462,6.32668137550354,0.01,2000,False,cuda,1,no_normal
Train,8,2,0.3644050588210424,0.8641,4.656501531600952,11.177620887756348,0.01,2000,False,cuda,1,no_normal
Train,8,3,0.31446055273214973,0.8816666666666667,4.584520101547241,15.940657615661621,0.01,2000,False,cuda,1,no_normal
Train,8,4,0.28363393048445384,0.8917333333333334,4.531543493270874,20.64151954650879,0.01,2000,False,cuda,1,no_normal
Train,8,5,0.2646603931983312,0.9003833333333333,4.536582708358765,25.489471673965454,0.01,2000,False,cuda,1,no_normal
Test,8,1,0.44817877411842344,0.839,1.5836234092712402,27.274005889892578,,1000,True,cuda,1,normal
Train,8,6,0.2515875662366549,0.9056833333333333,4.570254564285278,31.954912185668945,0.01,2000,False,cuda,1,no_normal
Train,8,7,0.23864452789227167,0.9105666666666666,4.523487091064453,36.64608645439148,0.01,2000,False,cuda,1,no_normal
Train,8,8,0.23324208160241444,0.9109833333333334,4.6142637729644775,41.44586205482483,0.01,2000,False,cuda,1,no_normal
Train,8,9,0.2226835032304128,0.9160333333333334,4.534431457519531,46.15665340423584,0.01,2000,False,cuda,1,no_normal
Train,8,10,0.2154172196984291,0.9181,4.579021692276001,50.90709471702576,0.01,2000,False,cuda,1,no_normal
Test,8,2,0.47745407819747926,0.8395,1.623612642288208,52.73792338371277,,1000,True,cuda,1,normal
Train,8,11,0.2129640743136406,0.9199166666666667,4.635073184967041,57.48648428916931,0.01,2000,False,cuda,1,no_normal
Train,8,12,0.20617276231447856,0.9221833333333334,4.6075451374053955,62.28959012031555,0.01,2000,False,cuda,1,no_normal
Train,8,13,0.19987948189179103,0.9246166666666666,4.661561489105225,67.13047766685486,0.01,2000,False,cuda,1,no_normal
Train,8,14,0.19417761663595837,0.9261666666666667,4.559376001358032,71.87979412078857,0.01,2000,False,cuda,1,no_normal
Train,8,15,0.19204382648070653,0.9262,4.576535940170288,76.74262547492981,0.01,2000,False,cuda,1,no_normal
Test,8,3,0.5239402294158936,0.846,1.571446418762207,78.48398113250732,,1000,True,cuda,1,normal
Train,8,16,0.18879138976335524,0.9270333333333334,4.596536874771118,83.17133712768555,0.01,2000,False,cuda,1,no_normal
Train,8,17,0.18635067890087764,0.9282333333333334,4.602130174636841,87.9639196395874,0.01,2000,False,cuda,1,no_normal
Train,8,18,0.17291902005672455,0.9329666666666667,4.5786473751068115,92.74050784111023,0.01,2000,False,cuda,1,no_normal
Train,8,19,0.1633757342894872,0.93795,4.56759238243103,97.481853723526,0.01,2000,False,cuda,1,no_normal
Train,8,20,0.16331479499737422,0.9372833333333334,4.570242166519165,102.27666687965393,0.01,2000,False,cuda,1,no_normal
Test,8,4,0.5811127960681916,0.8279,1.563976764678955,104.04113173484802,,1000,True,cuda,1,normal
Train,9,1,1.002145980298519,0.6830666666666667,6.6810462474823,8.054279327392578,0.001,1000,True,cuda,1,normal
Train,9,2,0.45038933704296746,0.8357,6.638310432434082,14.882323265075684,0.001,1000,True,cuda,1,normal
Train,9,3,0.3653494954109192,0.867,6.6606409549713135,21.749401569366455,0.001,1000,True,cuda,1,normal
Train,9,4,0.32774775177240373,0.8811166666666667,6.594547510147095,28.56380820274353,0.001,1000,True,cuda,1,normal
Train,9,5,0.3045211657881737,0.88895,6.571488857269287,35.33882212638855,0.001,1000,True,cuda,1,normal
Test,9,1,0.3421415716409683,0.8748,1.5760715007781982,37.10635995864868,,1000,True,cuda,1,normal
Train,9,6,0.2870812435944875,0.89515,6.722780227661133,43.931023597717285,0.001,1000,True,cuda,1,normal
Train,9,7,0.27495483234524726,0.8996833333333333,6.662908315658569,50.78743934631348,0.001,1000,True,cuda,1,normal
Train,9,8,0.264046435803175,0.9023666666666667,6.690840005874634,57.658308267593384,0.001,1000,True,cuda,1,normal
Train,9,9,0.2515630160768827,0.9084,6.6699278354644775,64.5139708518982,0.001,1000,True,cuda,1,normal
Train,9,10,0.2429161680241426,0.9104333333333333,6.660797834396362,71.37517952919006,0.001,1000,True,cuda,1,normal
Test,9,2,0.309344020485878,0.8857,1.5651099681854248,73.16182923316956,,1000,True,cuda,1,normal
Train,9,11,0.23524746149778367,0.9143,6.624877452850342,79.89524984359741,0.001,1000,True,cuda,1,normal
Train,9,12,0.22720649391412734,0.91655,6.579383373260498,86.64454197883606,0.001,1000,True,cuda,1,normal
Train,9,13,0.21850705022613207,0.9207,6.628826856613159,93.45455145835876,0.001,1000,True,cuda,1,normal
Train,9,14,0.21635401174426078,0.9217833333333333,6.656450271606445,100.28736972808838,0.001,1000,True,cuda,1,normal
Train,9,15,0.21034592986106873,0.9227166666666666,6.68354344367981,107.27942395210266,0.001,1000,True,cuda,1,normal
Test,9,3,0.29837190806865693,0.8915,1.5941815376281738,109.0722393989563,,1000,True,cuda,1,normal
Train,9,16,0.2033025659620762,0.9253,6.64426589012146,115.82075476646423,0.001,1000,True,cuda,1,normal
Train,9,17,0.19617514510949452,0.9277,6.6263508796691895,122.63263034820557,0.001,1000,True,cuda,1,normal
Train,9,18,0.19558147663871447,0.92755,6.653406381607056,129.4901373386383,0.001,1000,True,cuda,1,normal
Train,9,19,0.18682532186309497,0.93045,6.640336275100708,136.31193375587463,0.001,1000,True,cuda,1,normal
Train,9,20,0.18289254183570544,0.9323666666666667,6.636191129684448,143.150648355484,0.001,1000,True,cuda,1,normal
Test,9,4,0.304593425989151,0.8956,1.6071250438690186,144.96278190612793,,1000,True,cuda,1,normal
